Kelompok Barang,2013,,,,,,,,,2014,,,,,,,,,2015,,,,,,,,,2016,,,,,,,,,2017,,,,,,,,,2018,,,,,,,,,2019,,,,,,,,,2020,,,,,,,,,2021,,,,,,,,,2022,,,,,,,,,2023,,,,,,,,,2024,,,,,,,,,2025,,,,,,,,
,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita
,Kurang dari 100 000,100 000- 149 999,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000 dan lebih,,Kurang dari 100 000,100 000- 149 999,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000 dan lebih,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,
Makanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minyak dan lemak,2 505,4 077,5 577,8 035,10 748,13 383,16 264,18 655,11 376,3 214,5 116,5 612,7 910,11 812,14 567,17 329,19 267,12 972,4 880,5 683,8 477,11 646,13 646,17 078,20 226,26 005,13 837,"4,617","4,993","7,069","9,503","12,892","16,123","19,111","24,251","13,101","3,973","4,801","6,868","9,133","12,905","16,190","19,124","23,457","13,803","3,255","4,907","7,098","9,380","12,368","15,301","18,087","21,811","13,890","3,403","4,738","6,475","8,700","11,627","14,318","17,274","20,904","13,381","4,594","4,667","6,911","9,217","12,116","15,224","18,335","22,414","14,591",375,"5,081","7,109","9,882","12,964","16,582","20,489","26,300","16,539","7,096","5,473","7,768","11,132","15,110","21,301","26,965","36,291","21,824","12,504","5,081","7,384","10,387","13,196","17,319","21,780","30,557","19,213",,"5,363","6,957","10,109","12,916","16,458","20,554","28,356","18,710",,"5,691","7,710","10,955","14,319","18,274","23,253","30,891","21,337"
Bahan minuman,1 527,4 745,6 686,8 858,12 292,16 422,19 729,22 244,13 332,17 143,4 879,6 397,8 715,11 822,15 902,19 500,21 958,13 939,5 082,6 411,8 296,11 880,15 660,20 200,24 633,31 847,15 515,"4,310","6,012","8,473","11,572","15,954","19,976","24,673","31,764","16,348","4,567","6,793","8,777","11,990","15,696","19,787","24,258","31,346","17,421","4,065","6,451","9,071","12,818","15,621","19,031","22,778","28,766","17,815","4,713","6,812","8,512","12,043","15,152","18,015","21,780","27,851","17,383","5,523","6,679","8,749","12,109","15,968","19,287","23,514","30,464","19,042",899,"5,978","9,257","12,308","16,239","19,192","24,254","34,259","20,278","3,050","5,685","8,270","11,512","15,827","18,493","23,287","34,461","20,389","7,609","5,049","7,415","10,946","15,852","18,001","22,847","34,175","21,010",,"6,577","7,469","11,254","15,652","18,415","23,407","34,645","21,930",,"7,366","8,519","12,267","17,330","19,805","24,977","35,079","23,837"
Bumbu-bumbuan,1 466,1 983,2 693,4 218,5 971,7 818,9 721,11 477,6 454,3 214,2 260,2 804,4 063,6 125,8 242,10 366,11 874,7 209,2 143,2 883,4 164,6 346,8 237,10 728,13 626,21 285,8 433,"2,419","3,304","4,207","6,219","8,799","11,475","14,138","17,951","9,082","2,453","2,749","3,759","5,440","8,194","10,841","13,802","17,910","9,210","2,192","3,056","4,086","6,044","8,763","11,148","13,973","17,853","10,157","2,450","2,887","4,034","5,891","8,680","11,180","14,033","18,380","10,430","1,664","2,338","3,883","6,039","8,814","11,514","14,571","19,883","11,236","1,056","2,598","4,166","6,326","9,362","12,349","15,923","24,866","12,923","1,930","3,058","4,192","6,578","9,354","12,348","15,974","27,187","13,898","1,522","3,330","4,312","6,404","9,203","11,950","15,545","26,376","14,340",,"2,401","3,760","6,069","9,066","11,828","15,250","25,003","14,410",,"4,039","4,879","6,273","9,420","12,137","15,861","24,591","15,172"
Konsumsi lainnya,132,1 483,2 220,3 622,5 391,8 127,10 209,12 335,6 241,–,1 765,2 456,3 837,5 420,8 390,10 644,12 704,7 050,1 494,2 265,3 484,5 679,8 373,11 656,14 983,19 473,8 325,"1,381","2,428","3,379","5,350","8,047","11,103","14,091","18,257","8,483","2,716","2,519","3,685","5,852","8,531","11,795","15,441","19,474","9,941","1,143","2,295","3,342","5,457","7,683","10,438","13,520","17,171","9,427",635,"1,370","2,945","5,132","7,334","9,783","12,845","16,722","9,206","2,548","1,623","2,956","5,039","7,409","9,517","12,626","17,222","9,545",,"1,937","3,274","5,204","8,016","10,393","14,191","20,737","11,036","4,549","2,004","3,432","5,471","8,250","10,459","14,166","22,030","11,825",74,"1,363","3,356","5,128","8,228","10,361","14,018","21,959","12,407",,"3,146","3,152","4,905","7,706","9,745","13,389","20,839","12,182",,"3,634","2,920","4,999","7,921","9,661","13,179","19,301","12,248"
Makanan dan minuman jadi,2 839,5 771,11 272,22 015,42 044,72 897,98 035,155 297,54 331,–,8 094,12 329,22 298,42 489,75 187,109 596,160 996,64 593,6 858,13 701,24 968,46 854,76 752,105 373,129 387,204 387,73 906,"4,629","15,700","24,243","46,046","79,600","111,507","157,898","252,265","87,296","12,751","18,927","32,720","58,375","96,072","141,070","192,672","281,488","118,177","13,789","19,128","34,874","61,481","100,357","142,980","195,833","287,327","131,151","8,277","17,043","35,456","62,672","101,297","146,538","199,389","291,089","137,750","5,449","20,178","33,277","60,748","98,254","141,456","196,076","290,545","141,710",,"14,817","30,500","53,997","89,353","131,187","184,754","288,992","139,073","4,905","20,477","31,403","58,134","94,325","137,533","190,814","313,908","154,644",32,"10,056","31,463","58,238","93,612","136,532","189,776","320,056","166,056",,"16,711","30,112","58,826","95,059","135,247","192,556","312,009","172,234",,"9,581","25,737","61,622","99,687","139,362","192,190","311,214","181,387"
Tembakau dan sirih,4 203,6 861,11 544,20 179,34 693,55 336,75 342,88 361,41 323,–,6 463,10 211,19 423,35 422,57 799,78 332,98 766,48 125,4 655,8 718,17 920,36 344,58 763,74 011,80 948,103 177,51 795,"7,088","9,813","17,951","35,771","62,964","86,242","107,976","143,667","63,405","4,671","9,274","17,027","34,281","58,773","84,801","108,113","136,768","67,391","3,808","8,380","14,345","28,708","51,866","76,959","103,610","131,970","66,376","5,221","7,941","15,319","29,880","53,260","79,149","106,881","134,697","70,654","1,565","5,609","14,363","28,056","51,724","76,170","105,972","142,259","73,422",680,"8,496","13,604","27,760","51,220","77,548","107,806","156,423","78,705","6,055","3,947","14,727","28,287","52,407","77,995","112,963","170,938","86,659",,"6,969","14,490","28,258","50,854","75,887","113,480","183,631","94,661",,"13,771","15,290","27,884","49,126","73,965","112,781","185,184","98,253",,"5,863","17,074","26,699","46,007","69,596","106,789","170,155","96,053"
Jumlah Makanan,60 923,96 358,125 298,175 177,257 279,374 346,488 928,624 506,299 112,77 142,97 668,123 730,175 788,263 026,382 936,506 656,652 150,336 738,89 561,119 434,171 490,264 734,371 477,489 456,599 122,874 864,366 834,"87,403","116,503","165,070","249,320","376,166","502,100","647,744","924,577","397,100","90,138","123,730","176,790","267,314","394,160","536,379","694,177","952,601","457,927","93,967","125,141","176,952","268,079","388,006","521,706","679,221","935,837","479,558","93,166","123,799","177,851","265,487","385,526","518,694","677,268","935,475","490,754","107,368","130,968","180,994","267,669","388,423","518,753","684,290","969,351","518,073","82,450","125,326","178,986","264,546","387,187","519,349","695,291","1,035,769","545,942","98,576","127,221","178,140","268,642","394,829","530,443","713,126","1,117,252","591,087","93,910","124,800","174,823","266,364","395,654","527,866","713,785","1,139,892","630,962",,"136,347","182,737","277,526","405,176","539,311","737,138","1,153,361","669,039",,"126,693","180,716","285,759","416,296","541,668","732,420","1,122,979","689,466"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bukan Makanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perumahan, bahan bakar, penerangan, air",12 578,21 021,28 824,39 739,63 217,103 163,152 254,240 924,83 351,2 167,21 547,29 384,40 976,61 320,103 128,148 288,256 279,94 718,26 984,35 562,49 879,76 757,137 681,207 931,302 858,609 557,150 205,"29,826","37,354","55,026","87,106","139,230","203,624","290,213","527,450","163,511","22,476","31,200","45,590","74,274","117,981","173,633","251,830","459,065","156,612","22,303","31,096","48,234","78,806","126,138","184,177","272,321","502,637","184,318","22,672","31,689","49,618","79,474","128,031","186,652","277,500","513,890","194,244","18,836","28,862","48,846","79,161","127,752","187,780","277,583","507,477","205,502","25,763","33,145","51,015","83,020","131,952","191,484","282,222","502,560","218,188","19,739","33,038","51,675","81,636","128,781","186,881","271,711","506,062","226,439","35,166","35,716","56,036","88,408","136,177","193,380","280,571","534,255","255,140",,"30,006","52,239","88,033","134,051","191,062","274,192","518,709","261,076",,"38,076","52,652","79,688","123,093","182,186","273,951","508,782","266,270"
