Kelompok Barang,2013,,,,,,,,,2014,,,,,,,,,2015,,,,,,,,,2016,,,,,,,,,2017,,,,,,,,,2018,,,,,,,,,2019,,,,,,,,,2020,,,,,,,,,2021,,,,,,,,,2022,,,,,,,,,2023,,,,,,,,,2024,,,,,,,,,2025,,,,,,,,
,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita,Golongan Pengeluaran per Kapita Sebulan (rupiah),,,,,,,,Rata?Rata per Kapita
,Kurang dari 100 000,100 000- 149 999,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000 dan lebih,,Kurang dari 100 000,100 000- 149 999,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000 dan lebih,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,,< 150 000,150 000- 199 999,200 000- 299 999,300 000- 499 999,500 000- 749 999,750 000- 999 999,1 000 000- 1 499 999,> 1 500 000,
Makanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barang dan jasa,4 619,8 227,12 215,19 115,34 248,60 010,86 698,169 814,48 231,5 167,9 529,13 294,21 337,35 615,64 502,98 155,182 622,60 039,5 910,8 937,12 042,18 034,30 847,46 333,69 315,179 460,36 000,"5,425","8,822","12,723","19,442","30,659","43,797","64,869","164,403","38,736","5,406","6,714","9,556","14,257","24,426","36,168","53,847","121,954","34,324","5,023","7,777","10,529","16,000","27,883","42,551","62,062","139,245","43,684","12,596","16,962","23,221","32,790","55,777","84,004","123,381","264,075","89,268","10,838","12,780","21,492","32,445","55,119","83,619","122,566","246,700","92,737","15,187","13,259","20,750","31,869","53,215","80,007","113,900","234,305","92,658","13,591","14,039","21,920","34,198","53,209","78,988","111,569","228,803","97,026","7,305","13,952","21,300","34,567","50,705","76,737","109,163","233,380","103,945",,"6,060","9,528","17,310","27,311","41,776","61,851","133,261","61,232",,"16,094","21,817","37,206","53,913","77,406","114,178","237,166","118,093"
Biaya pendidikan,2 255,5 644,6 904,8 914,12 782,19 363,25 806,38 360,15 710,1 500,5 729,7 739,9 010,11 239,17 918,22 818,35 080,15 864,5 486,6 992,8 534,10 838,15 616,21 022,28 061,52 220,16 488,"3,860","7,066","9,331","12,907","17,476","20,171","26,142","45,780","18,228","8,594","6,485","8,420","11,090","17,098","22,272","27,951","42,652","19,362","4,667","6,629","7,156","9,451","15,429","21,073","26,406","37,991","18,820","4,197","6,596","7,881","9,375","15,071","21,247","26,875","38,222","19,431","2,910","4,664","6,715","9,810","15,363","21,988","27,753","39,025","20,831","11,698","5,089","7,228","10,283","15,623","22,946","32,767","96,552","39,578","7,422","4,456","7,819","10,105","14,325","20,401","25,279","41,630","21,785",9,"4,842","7,371","10,839","13,793","20,164","25,677","39,900","22,765",,"2,008","7,312","9,998","13,604","19,414","25,105","39,216","23,003",,"8,833","8,000","11,627","14,718","20,438","26,209","39,610","24,823"
Biaya kesehatan,207,1 557,2 560,3 783,7 107,14 747,26 569,100 731,15 468,–,1 834,2 265,3 803,6 711,13 277,24 246,99 962,18 133,1 263,2 211,3 852,5 699,11 372,19 221,33 629,89 784,14 895,"1,055","2,514","3,620","6,489","11,550","17,822","28,198","79,394","15,823","1,633","2,405","3,961","6,690","11,192","18,562","29,756","78,108","18,446","1,787","2,514","4,096","6,512","11,357","18,911","31,159","78,838","21,232","1,520","2,609","4,130","6,805","12,029","18,666","31,326","75,826","22,092",486,"1,412","4,148","6,399","11,465","17,986","29,600","65,969","21,965",856,"1,421","3,499","5,667","10,002","15,820","25,569","94,529","34,364","1,267","1,333","3,621","6,653","10,999","15,928","24,477","56,226","21,676","4,826","1,324","3,147","5,549","8,732","13,369","20,395","53,283","20,792",,979,"2,359","5,466","8,772","12,807","20,143","51,044","21,374",,970,"2,408","6,557","10,084","14,066","23,765","61,016","26,614"
"Pakaian, alas kaki, dan tutup kepala",498,1 513,2 248,3 110,5 573,11 321,19 516,37 337,9 264,5 083,1 313,2 321,3 001,5 245,10 033,17 071,39 580,10 399,2 946,4 615,6 739,10 591,18 281,27 079,38 449,76 176,19 654,"2,589","5,256","7,609","12,310","19,672","26,548","37,967","70,067","22,157","3,791","4,675","6,831","10,515","18,815","27,859","39,211","67,754","24,104","3,196","4,024","6,033","9,333","17,617","27,766","39,579","69,054","25,877","1,720","3,655","6,416","9,629","17,886","28,218","40,427","69,125","27,271","2,207","3,006","5,772","9,416","17,069","27,673","40,159","68,135","28,398",801,"2,921","5,217","8,321","15,074","25,048","35,913","61,473","26,705","2,304","2,913","5,028","8,814","14,509","23,821","33,985","60,122","27,264","2,010","3,520","5,155","8,915","13,683","22,975","33,910","60,807","29,176",,"3,128","4,578","8,070","12,805","21,061","31,546","56,694","28,434",,"3,422","5,077","8,840","13,427","21,222","32,744","58,640","30,880"
Barang yang tahan lama,230,335,658,1 510,3 697,12 241,32 409,232 581,22 276,–,337,845,1 230,2 881,9 239,21 129,179 500,22 169,412,823,1 815,4 428,12 503,30 986,68 599,449 588,34 780,704,888,"1,775","4,230","11,010","24,188","57,681","333,501","33,104",573,993,"2,287","5,658","12,202","25,114","54,714","295,221","38,527",276,972,"1,839","4,859","10,388","21,441","50,963","278,860","43,162",546,809,"2,036","4,580","10,543","21,074","48,795","255,014","42,859","1,681","1,091","1,827","4,177","9,365","18,541","42,962","243,998","45,138",693,679,"1,996","4,470","9,898","18,456","38,487","212,687","44,883",193,750,"1,266","3,370","7,553","13,812","28,152","173,154","39,660",,421,"1,344","3,056","7,218","12,459","24,644","162,213","41,890",,471,"1,418","2,679","5,999","10,570","21,233","135,362","38,481",,79,"1,106","2,904","6,366","11,244","24,340","148,129","45,984"
Pajak pemakaian dan premi asuransi,513,595,1 081,1 811,3 527,6 731,10 366,24 047,5 586,83,706,1 032,1 932,3 183,6 496,11 056,26 813,6 750,1 016,1 378,2 385,3 894,7 039,11 548,20 291,58 670,9 385,"1,371","2,748","3,816","5,531","8,557","12,318","20,419","50,465","11,403","3,470","5,154","6,850","10,842","13,586","18,064","26,538","59,303","18,436","3,360","5,379","6,249","10,680","14,797","18,941","27,141","57,635","20,462","8,103","6,716","7,818","11,665","16,936","21,122","30,024","61,362","23,322","4,189","4,771","8,321","12,376","19,968","24,607","34,505","66,044","27,759","10,321","6,770","9,055","13,629","21,746","26,811","37,102","67,099","30,787","6,250","5,677","10,841","15,614","23,693","28,252","37,375","68,711","33,744",85,"6,976","10,700","15,573","25,579","29,648","38,280","70,960","37,192",,"11,707","10,785","15,344","24,463","29,799","39,195","71,892","38,790",,"10,362","13,282","16,914","24,931","30,653","40,762","75,232","41,954"
Keperluan pesta dan upacara,–,541,481,629,1 747,4 419,13 054,55 613,6 463,–,128,289,642,1 650,3 168,5 594,62 418,7 775,313,417,1 055,2 127,4 957,10 267,24 286,126 095,11 173,290,782,"1,189","2,348","4,911","9,369","18,821","99,024","11,205",698,511,"1,066","2,329","4,295","8,586","18,756","93,960","12,855",288,330,890,"1,851","3,799","8,315","18,537","92,400","14,993",545,474,842,"1,699","3,796","7,652","18,327","86,731","15,110",16,"1,119",701,"1,606","3,491","6,342","16,787","84,110","16,088",,70,711,"1,391","3,189","6,515","12,683","51,591","12,282",,344,932,"1,549","3,113","5,844","11,888","54,176","13,677",,307,763,"1,512","3,219","5,552","12,030","82,043","20,812",,313,402,"1,495","2,989","4,904","10,330","78,921","21,516",,26,348,"1,347","2,391","4,208","9,320","66,975","20,044"
Jumlah Bukan Makanan,20 900,39 433,54 972,78 612,131 899,231 994,366 672,899 407,206 349,14 000,41 123,57 169,81 931,127 844,227 761,348 357,882 254,235 848,44 330,60 936,86 301,132 368,238 296,374 387,585 489,1641 552,292 580,"45,119","65,430","95,090","150,362","243,066","357,838","544,310","1,370,084","314,166","46,642","58,137","84,561","135,654","219,594","330,258","502,603","1,218,017","322,666","40,900","58,720","85,027","137,491","227,408","343,174","528,167","1,256,660","372,548","46,182","60,305","89,950","139,839","232,969","348,722","538,454","1,250,198","392,075","37,767","51,629","86,958","139,180","232,764","348,562","534,562","1,216,465","415,622","52,765","56,844","88,745","142,699","235,073","348,321","520,307","1,129,714","425,503","42,078","56,759","91,662","145,181","230,857","337,598","494,680","1,091,029","437,809","44,566","60,890","95,299","152,031","236,581","340,751","498,599","1,143,659","488,157",,"54,672","88,622","148,395","229,996","331,392","483,595","1,085,099","493,906",,"68,059","94,282","146,900","224,121","326,919","495,296","1,094,924","523,225"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumlah,81 823,135 791,180 270,253 789,389 178,606 340,855 600,1523 913,505 461,91 142,138 791,180 899,257 719,390 870,610 697,855 013,1534 404,572 586,133 891,180 370,257 791,397 102,609 773,863 843,1184 611,2516 416,659 414,"132,522","181,933","260,160","399,681","619,232","859,938","1,192,054","2,294,660","711,266","136,780","181,867","261,351","402,968","613,754","866,637","1,196,780","2,170,618","780,593","134,867","183,861","261,979","405,570","615,414","864,880","1,207,388","2,192,498","852,105","139,348","184,104","267,801","405,326","618,495","867,416","1,215,722","2,185,673","882,829","145,135","182,598","267,953","406,850","621,187","867,315","1,218,852","2,185,816","933,695","135,215","182,169","267,730","407,246","622,261","867,670","1,215,598","2,165,483","971,445","140,654","183,980","269,803","413,823","625,685","868,041","1,207,806","2,208,281","1,028,896","138,476","185,691","270,122","418,395","632,235","868,617","1,212,384","2,283,551","1,119,119",,"191,020","271,359","425,921","635,172","870,703","1,220,733","2,238,460","1,162,944",,"194,752","274,998","432,659","640,417","868,588","1,227,716","2,217,904","1,212,690"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diolah dari Hasil Survei Sosial Ekonomi Nasional (Susenas) Triwulan I-2014, BPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumber : Publikasi Statistik Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
